seqID	Bioproject	Biosample	SRR
11_unbinned_16	PRJNA478018	SAMN09489426	SRR7448288
11_unbinned_2	PRJNA478018	SAMN09489426	SRR7448288
13_unbinned_5	PRJNA478018	SAMN09489426	SRR7448324
16_unbinned_5	PRJNA478018	SAMN09489426	SRR7448318
16_unbinned_6	PRJNA478018	SAMN09489426	SRR7448318
17_bin_5_contig_1	PRJNA478018	SAMN09489426	SRR7448317
17_bin_5_contig_2	PRJNA478018	SAMN09489426	SRR7448317
17_bin_5_contig_3	PRJNA478018	SAMN09489426	SRR7448317
17_bin_5_contig_4	PRJNA478018	SAMN09489426	SRR7448317
17_unbinned_33	PRJNA478018	SAMN09489426	SRR7448317
17_unbinned_9	PRJNA478018	SAMN09489426	SRR7448317
19_unbinned_1	PRJNA478018	SAMN09489426	SRR7448302
19_unbinned_8	PRJNA478018	SAMN09489426	SRR7448302
20_unbinned_4	PRJNA478018	SAMN09489426	SRR7448303
21_bin_11_contig_1	PRJNA478018	SAMN09489426	SRR7448300
21_bin_11_contig_2	PRJNA478018	SAMN09489426	SRR7448300
21_bin_8_contig_1	PRJNA478018	SAMN09489426	SRR7448300
21_bin_8_contig_2	PRJNA478018	SAMN09489426	SRR7448300
21_bin_8_contig_3	PRJNA478018	SAMN09489426	SRR7448300
22A_bin_1_contig_1	PRJNA478018	SAMN09489426	SRR7448323
22A_bin_1_contig_2	PRJNA478018	SAMN09489426	SRR7448323
22A_bin_1_contig_3	PRJNA478018	SAMN09489426	SRR7448323
22A_bin_1_contig_4	PRJNA478018	SAMN09489426	SRR7448323
22A_bin_1_contig_5	PRJNA478018	SAMN09489426	SRR7448323
22A_bin_1_contig_6	PRJNA478018	SAMN09489426	SRR7448323
22A_bin_1_contig_7	PRJNA478018	SAMN09489426	SRR7448323
22A_bin_1_contig_8	PRJNA478018	SAMN09489426	SRR7448323
22A_bin_1_contig_9	PRJNA478018	SAMN09489426	SRR7448323
22A_bin_1_contig_10	PRJNA478018	SAMN09489426	SRR7448323
22A_bin_1_contig_11	PRJNA478018	SAMN09489426	SRR7448323
22A_bin_1_contig_12	PRJNA478018	SAMN09489426	SRR7448323
25_unbinned_17	PRJNA478018	SAMN09489426	SRR7448301
26_unbinned_31	PRJNA478018	SAMN09489426	SRR7448297
26_unbinned_39	PRJNA478018	SAMN09489426	SRR7448297
26_unbinned_62	PRJNA478018	SAMN09489426	SRR7448297
